Points:14198, Remaining weight:45, Remaining volume:22
item380, 16, 25, 46
item440, 10, 31, 66
item631, 26, 28, 73
item174, 13, 38, 42
item323, 15, 35, 54
item163, 25, 22, 65
item273, 24, 32, 72
item614, 27, 24, 41
item452, 11, 36, 55
item712, 25, 24, 70
item953, 12, 27, 41
item176, 28, 39, 45
item410, 11, 26, 42
item274, 24, 34, 40
item820, 12, 22, 80
item455, 22, 22, 46
item854, 14, 25, 76
item372, 18, 35, 64
item833, 23, 36, 45
item213, 25, 35, 79
item117, 14, 38, 42
item788, 13, 30, 56
item733, 15, 21, 54
item933, 23, 25, 72
item472, 23, 24, 68
item519, 27, 31, 73
item316, 17, 25, 52
item880, 13, 30, 50
item81, 26, 40, 41
item675, 28, 30, 42
item494, 27, 24, 51
item90, 20, 33, 63
item228, 26, 34, 56
item684, 21, 34, 72
item829, 18, 20, 43
item881, 10, 33, 46
item885, 12, 34, 71
item868, 16, 33, 54
item39, 19, 25, 52
item917, 14, 32, 49
item352, 18, 33, 43
item388, 11, 34, 55
item483, 19, 34, 54
item533, 20, 29, 73
item673, 26, 28, 71
item189, 18, 23, 59
item38, 29, 30, 72
item570, 12, 33, 76
item575, 28, 32, 70
item608, 12, 38, 63
item266, 12, 22, 66
item754, 17, 21, 53
item563, 28, 34, 63
item544, 13, 27, 72
item164, 20, 40, 69
item643, 10, 20, 66
item514, 21, 36, 50
item775, 17, 36, 49
item143, 18, 38, 57
item499, 11, 24, 55
item911, 19, 26, 66
item966, 20, 23, 52
item742, 16, 25, 72
item611, 25, 38, 47
item761, 13, 30, 49
item363, 25, 22, 72
item376, 22, 23, 44
item381, 27, 36, 49
item929, 15, 26, 50
item201, 21, 24, 74
item579, 22, 31, 72
item725, 15, 25, 47
item401, 30, 29, 51
item504, 29, 37, 62
item850, 23, 36, 47
item419, 13, 34, 78
item755, 19, 33, 43
item307, 28, 36, 68
item757, 30, 40, 46
item240, 19, 21, 58
item832, 26, 21, 66
item424, 11, 39, 64
item245, 12, 38, 42
item873, 17, 39, 68
item80, 28, 35, 71
item21, 17, 34, 75
item560, 24, 36, 51
item891, 17, 35, 78
item204, 12, 36, 75
item367, 29, 23, 63
item396, 11, 39, 69
item618, 16, 23, 73
item146, 26, 20, 54
item371, 11, 28, 54
item919, 25, 31, 56
item657, 27, 25, 64
item982, 15, 36, 69
item33, 24, 36, 61
item554, 13, 28, 80
item954, 18, 37, 50
item353, 27, 33, 75
item214, 23, 31, 55
item879, 10, 34, 59
item118, 14, 30, 80
item50, 15, 27, 72
item574, 23, 24, 49
item676, 13, 29, 54
item759, 25, 37, 45
item644, 19, 21, 46
item185, 19, 21, 80
item995, 13, 32, 54
item971, 25, 20, 48
